branch,radius_mm,gate_mm,reachable_voxel_coverage,reachable_patient_mean,reachable_patient_median,reachable_patient_iqr25,reachable_patient_iqr75,reachable_eligible_cases,overall_voxel_coverage,overall_patient_mean,overall_patient_median,overall_patient_iqr25,overall_patient_iqr75,overall_error_cases
pos,2.0,42.0,0.6792219301615037,0.6128269349703298,0.65216,0.43030066380320187,0.8092265529841657,97,0.6751449191100247,0.6022415447825187,0.6416145691764066,0.42755542829239634,0.8094047840428393,99
pos,2.0,43.0,0.6889377609403519,0.6228898635518184,0.6637704769662413,0.4400624755954705,0.8224725943970768,97,0.6847196003869458,0.6120457185517427,0.6485458004892634,0.4373152791921692,0.8196458715752502,99
pos,2.0,44.0,0.6985280641897574,0.632908830329191,0.6729115757082089,0.44668314008743587,0.8335870889159561,97,0.6941705777714001,0.621808067448473,0.6588746942103832,0.446906731828923,0.8288298766552297,99
pos,2.0,45.0,0.7073790102907469,0.642310194245382,0.6796995203185808,0.4552366470252804,0.8458739871010419,97,0.7028929392292258,0.6309683981260646,0.66838814895352,0.45619698826895383,0.8432437218423905,99
pos,2.0,46.0,0.7170044612483963,0.6526255952386089,0.6879355597791655,0.4670675830469645,0.8566231189019349,97,0.7123785537035708,0.6410201575706811,0.6853574926542605,0.465609596214009,0.8573426472414478,99
pos,2.0,47.0,0.7261353337400426,0.6622495503249664,0.6993359567142154,0.48344300573126725,0.8668008048289738,97,0.7213767748415971,0.6503973383094133,0.6970842332613391,0.47665868067555817,0.8662327446614904,99
pos,2.0,48.0,0.7349800034645598,0.6715421465667619,0.7154451549434333,0.4957546168541711,0.8756090133982948,97,0.7300929511047994,0.6594523616743716,0.708025343189018,0.49229470917164303,0.8756868381319041,99
pos,2.0,49.0,0.7438359706667269,0.6809963135936303,0.7279881947860305,0.5087030354489492,0.8800528900642236,97,0.7388202607183237,0.6686649128167232,0.7252727912706793,0.5073967324965879,0.880853689524101,99
pos,2.0,50.0,0.751982707327544,0.6897659002303218,0.7407603890362511,0.5216514540437275,0.8836772983114447,97,0.7468486433394114,0.6772101163447617,0.7382468168462292,0.5221329697693985,0.8844951531605048,99
pos,2.0,inf,1.0,1.0,1.0,1.0,1.0,97,0.9912627940750783,0.9797979797979798,1.0,1.0,1.0,99
pos,4.0,0.0,0.0,0.0,0.0,0.0,0.0,97,0.019744378276606852,0.01904014305216138,0.01766138855054811,0.012741652636013363,0.025308342189891527,99
pos,4.0,1.0,0.0003921778348218265,0.0003416230270236672,0.0,0.0,0.0,97,0.02012538626540423,0.019364862493155964,0.01766138855054811,0.012741652636013363,0.025581549995552115,99
pos,4.0,2.0,0.018790156845667837,0.018282887899911796,0.016514016097696364,0.011918063314711359,0.02392902999883273,97,0.03799936168791487,0.036546687750322514,0.033949453036589965,0.02485407770803913,0.048658498499694655,99
pos,4.0,3.0,0.031790597409079684,0.03076803704039204,0.028733997155049786,0.020404935147105348,0.039003966505068315,97,0.050629529108762936,0.04850467750169621,0.04551741481202062,0.03224620524042954,0.06479084194383605,99
pos,4.0,4.0,0.039394772829715874,0.03796503298639615,0.03651354534746761,0.02337334175615919,0.04838709677419355,97,0.058017125566873086,0.055394582806947874,0.054207993715015224,0.035912634545481534,0.07228334440044125,99
pos,4.0,5.0,0.07172143150002928,0.06707893180604488,0.06350102669404517,0.04022346368715084,0.08634772462077013,97,0.0894230697863139,0.08325361885381531,0.07792349726775956,0.05073588487687174,0.10733774197278012,99
pos,4.0,6.0,0.11452102098660738,0.10514491031342531,0.10190151145782544,0.061853695901953276,0.13536449638286033,97,0.13100365916113915,0.11968500916222456,0.11720169594185342,0.07326492030798304,0.1559384597751416,99
pos,4.0,7.0,0.14264195436985425,0.12979940390971187,0.12805308485105182,0.07401749756978197,0.1696737837977563,97,0.1583236638124055,0.1432915392383955,0.1417108663130695,0.08577562636125524,0.18727681493712833,99
pos,4.0,8.0,0.16286457895634857,0.1473898412942841,0.14386559367499646,0.08513992905005913,0.19560495719943785,97,0.1779703160139637,0.1601325487983336,0.1594951923076923,0.0951044894523172,0.21361527898260324,99
pos,4.0,9.0,0.18848219538096003,0.16919984440822677,0.16425368353619474,0.09394297726974117,0.22894501746121984,97,0.20285830213933512,0.18102974498749344,0.17922827262892174,0.1062750179397971,0.24539431822268234,99
pos,4.0,10.0,0.21306079520422533,0.19034027758354952,0.18782831518257528,0.1040599132834056,0.2640858566500575,97,0.22673686450217842,0.20128057250746323,0.20252403846153846,0.11684472316943387,0.2786920306241012,99
pos,4.0,11.0,0.24674988985914703,0.21930290378953482,0.2151185137732223,0.12898112119902003,0.3088028618883352,97,0.25946644037101274,0.22903156572463662,0.2285927029039464,0.13550985574037475,0.3212170473083572,99
pos,4.0,12.0,0.2712966570659495,0.23996337391699826,0.2367713004484305,0.13800503872352338,0.34171779141104297,97,0.28331407676073933,0.24883092134785864,0.24972497249724973,0.14529895859244019,0.3514448352635222,99
pos,4.0,13.0,0.29264488297056884,0.25784117778647403,0.25125208681135225,0.148549034244658,0.3691624227977029,97,0.304054271371703,0.2659652664269636,0.26512651265126513,0.15803732645061935,0.3765861438916781,99
pos,4.0,14.0,0.3109078916876125,0.2729294825058509,0.2598775737340011,0.1578800037323878,0.396044895777659,97,0.32179712066819893,0.2804301730428971,0.2745124778399018,0.1661769738458559,0.4076949321681004,99
pos,4.0,15.0,0.32940646176648103,0.28849046726124183,0.276860087533531,0.16889054772790893,0.4124354177801532,97,0.33976882216575827,0.2953453652406014,0.2907957462412908,0.17506143365174753,0.42496474164512854,99
pos,4.0,16.0,0.3526824709240881,0.3083591427282977,0.2986530422666047,0.1826595226497808,0.4352546702858055,97,0.3623818937086674,0.31439069403837827,0.30963905407274234,0.1846256251558274,0.4483447738259475,99
pos,4.0,17.0,0.3734347902485236,0.32582901358719696,0.31618722574353975,0.19012826757590517,0.4644976169633304,97,0.38254315410288703,0.3311431174732246,0.3234683999446826,0.19134000871641432,0.46869330369641216,99
pos,4.0,18.0,0.39180475655688235,0.34135860235929455,0.32581667479278403,0.1974346484818964,0.4901005907711959,97,0.400389914669055,0.34603322091821803,0.33521634615384616,0.19747175487167978,0.49178736466984674,99
pos,4.0,19.0,0.4067113341940873,0.3539642969501952,0.3334745164478328,0.20376684526708883,0.5095800734472298,97,0.41487192936012923,0.35811817127565865,0.34543454345434543,0.20411678917850187,0.5150953128575788,99
pos,4.0,20.0,0.4224850323037392,0.3674221081099735,0.348863475928279,0.2079386558412269,0.530336899249561,97,0.4301963675589016,0.3710200498497823,0.3552595814079913,0.2129226079525415,0.5382398050483104,99
pos,4.0,21.0,0.4404946533937389,0.3831133906472835,0.36481716786672314,0.21740542295827245,0.5504032258064516,97,0.44769304610938887,0.3860615218346964,0.3718401739603153,0.2215708371267146,0.5619641587666439,99
pos,4.0,22.0,0.4559130995036658,0.39672515512195333,0.37904002200522624,0.22178925150186718,0.5727357320099256,97,0.4626723504481792,0.3991146381453062,0.3863821690676814,0.22855440184730197,0.5763241943732829,99
pos,4.0,23.0,0.4695501923963339,0.4088170825808922,0.3919680924219502,0.22902270483711748,0.5936724565756824,97,0.47592103733136065,0.4107112491570243,0.3991573797227507,0.235050019325692,0.5872956276699977,99
pos,4.0,24.0,0.4818999742792459,0.4198700274085402,0.4053087608306973,0.23731490621915102,0.6038488210818308,97,0.487919077861704,0.4213121184806744,0.41073157239662567,0.24411293275342202,0.6001135361397713,99
pos,4.0,25.0,0.49384611858540944,0.4307320199805469,0.4161738412873057,0.2464267483409903,0.6194521497919556,97,0.4995249770529279,0.43173216937627334,0.4195823537546674,0.25612395609162875,0.6175806955896832,99
pos,4.0,26.0,0.5088252745881496,0.4446942381318197,0.4296520423600605,0.2617406840224604,0.6425248138957816,97,0.5140775029627083,0.4451273656022708,0.4306458304522196,0.2686383253131393,0.6404586244067703,99
pos,4.0,27.0,0.5219326727428765,0.45703498256714936,0.4449181680649154,0.2728689071889606,0.6574131513647643,97,0.5268115816532283,0.4569669857145479,0.43797538376434797,0.28178842130936854,0.656347710844498,99
pos,4.0,28.0,0.5345778613065634,0.468952639431099,0.46183468573786274,0.2864864864864865,0.6716366158113731,97,0.5390966152140944,0.46840295354845485,0.44475176324159865,0.29221581292730137,0.6723562598871639,99
pos,4.0,29.0,0.5460808955915646,0.4798315901876748,0.47820107275477924,0.2972972972972973,0.6819521497919556,97,0.5502720248595342,0.47884098517935336,0.46661445075386726,0.3045299919065302,0.6865630701889469,99
pos,4.0,30.0,0.557606849360419,0.4907482934071482,0.4959427864117728,0.30987359070720877,0.6955617198335645,97,0.5614697012056181,0.48931726340492154,0.4914822792245937,0.3166092617318754,0.7009655570432801,99
pos,4.0,31.0,0.5713088807906712,0.5039462145630056,0.5129968367487279,0.3262726340963444,0.7080520732883318,97,0.5747814770739577,0.50198522496879,0.5143920109653417,0.3291681405951,0.7128494868039252,99
pos,4.0,32.0,0.5831417009822272,0.5153872635477226,0.5292256911016366,0.33655609268211367,0.7175747348119575,97,0.5862772798008862,0.5129672807348181,0.5333855492461328,0.3397203890009123,0.7251434509796728,99
pos,4.0,33.0,0.5945670636830592,0.5265921719071023,0.5451333119177643,0.3467330270546197,0.7286403085824493,97,0.5973772300719215,0.5237252338241912,0.5508290296276162,0.34906625558628207,0.7361254005711012,99
pos,4.0,34.0,0.6057008396170919,0.5376345587876904,0.5583826158712695,0.3574527820316488,0.7372227579556413,97,0.608193898429208,0.5343292605129354,0.5588142541784926,0.3591874823660062,0.7440579324564395,99
pos,4.0,35.0,0.6162157894870874,0.5480729469293566,0.5695227616558933,0.3668963757018887,0.7471070395371263,97,0.6184093658691064,0.5443536951117874,0.5746126664854581,0.3668543806019474,0.7536751556238352,99
pos,4.0,36.0,0.6288316920436285,0.5611219329259665,0.5812130380965479,0.3783818274629913,0.7626117766154884,97,0.6306659475347052,0.5568891990945908,0.5861647186735526,0.3817240324158621,0.7668725981769682,99
