branch,radius_mm,case_quantile,eligible_cases,mean_mm,median_mm,iqr25_mm,iqr75_mm
neg,16.0,p90,95,57.21016081559031,53.36606826782238,43.92745018005371,67.75345268249512
neg,16.0,p95,95,64.81446070420115,61.4933811187744,50.159787940979,77.20200519561763
neg,16.0,p99,95,75.26666852328651,73.47151878356931,59.88115024566652,86.22350799560544
neg,18.0,p25,95,11.651232353009675,10.0,5.0,15.0
neg,18.0,p50,95,25.30684855109767,22.11042881011963,15.0,31.45675277709961
neg,18.0,p75,95,42.01848472294054,38.32666778564453,30.0,50.30939483642578
neg,18.0,p90,95,56.043582827919394,52.60111999511719,42.323476409912104,66.54075317382814
neg,18.0,p95,95,63.726836439433846,60.09314193725585,49.16258831024169,76.37126502990722
neg,18.0,p99,95,74.16367442000539,72.55821151733397,58.30459577560424,85.29627162933349
neg,20.0,p25,95,11.291003192098517,9.154720306396484,5.0,15.0
neg,20.0,p50,95,24.487134948529697,21.02152442932129,15.0,30.294109344482422
neg,20.0,p75,95,41.077128164391766,36.97831344604492,29.509987831115723,49.761582374572754
neg,20.0,p90,95,55.008990530716744,51.54731979370117,41.10673713684082,65.48357772827151
neg,20.0,p95,95,62.678036144658115,58.840989685058545,48.204368591308594,75.24801864624023
neg,20.0,p99,95,73.1545484237671,71.10159912109374,57.028377780914305,84.69062294006348
